"('His', 'PRP$')","('face', 'NN')","('became', 'VBD')","('as', 'RB')","('black', 'JJ')","('as', 'IN')","('coal', 'NN')","('.', '.')",,,,,,,,,,,
"('My', 'PRP$')","('uncle', 'NN')","('is', 'VBZ')","('as', 'RB')","('blind', 'JJ')","('as', 'IN')","('a', 'DT')","('bat', 'NN')","('without', 'IN')","('his', 'PRP$')","('spectacles', 'NNS')","('.', '.')",,,,,,,
"('Naina', 'NNP')","('was', 'VBD')","('as', 'RB')","('cool', 'JJ')","('as', 'IN')","('a', 'DT')","('cucumber', 'NN')","('.', '.')",,,,,,,,,,,
"('The', 'DT')","('soldier', 'NN')","('was', 'VBD')","('as', 'RB')","('brave', 'JJ')","('as', 'IN')","('a', 'DT')","('lion', 'NN')","('.', '.')",,,,,,,,,,
"('He', 'PRP')","('is', 'VBZ')","('cunning', 'JJ')","('like', 'IN')","('a', 'DT')","('fox', 'NN')","('.', '.')",,,,,,,,,,,,
"('The', 'DT')","('expression', 'NN')","('on', 'IN')","('her', 'PRP$')","('face', 'NN')","('was', 'VBD')","('as', 'RB')","('cold', 'JJ')","('as', 'IN')","('ice', 'NN')","('.', '.')",,,,,,,,
"('My', 'PRP$')","('wife', 'NN')","('is', 'VBZ')","('as', 'RB')","('busy', 'JJ')","('as', 'IN')","('a', 'DT')","('bee', 'NN')","('in', 'IN')","('the', 'DT')","('mornings', 'NNS')","('.', '.')",,,,,,,
"('The', 'DT')","('hall', 'NN')","('is', 'VBZ')","('as', 'RB')","('clean', 'JJ')","('as', 'IN')","('a', 'DT')","('whistle', 'NN')","('.', '.')",,,,,,,,,,
"('My', 'PRP$')","('blanket', 'NN')","('is', 'VBZ')","('as', 'RB')","('soft', 'JJ')","('as', 'IN')","('velvet', 'NN')","('!', '.')",,,,,,,,,,,
"('My', 'PRP$')","('grandmother', 'NN')","(""'s"", 'POS')","('mind', 'NN')","('is', 'VBZ')","('as', 'RB')","('sharp', 'JJ')","('as', 'IN')","('a', 'DT')","('razor', 'NN')","('.', '.')",,,,,,,,
"('The', 'DT')","('clothes', 'NNS')","('she', 'PRP')","('wore', 'VBD')","('were', 'VBD')","('as', 'RB')","('white', 'JJ')","('as', 'IN')","('snow', 'NN')","('.', '.')",,,,,,,,,
"('Her', 'PRP$')","('face', 'NN')","('became', 'VBD')","('as', 'RB')","('white', 'JJ')","('as', 'IN')","('a', 'DT')","('ghost', 'NN')","('.', '.')",,,,,,,,,,
"('You', 'PRP')","('still', 'RB')","('look', 'VBP')","('as', 'RB')","('fresh', 'JJ')","('as', 'IN')","('a', 'DT')","('daisy', 'NN')","('after', 'IN')","('finishing', 'VBG')","('all', 'PDT')","('the', 'DT')","('work', 'NN')","('!', '.')",,,,,
"('He', 'PRP')","('is', 'VBZ')","('standing', 'VBG')","('as', 'RB')","('stiff', 'JJ')","('as', 'IN')","('a', 'DT')","('board', 'NN')","('on', 'IN')","('the', 'DT')","('stage', 'NN')","('.', '.')",,,,,,,
"('She', 'PRP')","('is', 'VBZ')","('as', 'RB')","('proud', 'JJ')","('as', 'IN')","('a', 'DT')","('peacock', 'NN')","('.', '.')",,,,,,,,,,,
